t,connectedPlugins,allowedPlugins,uptimeMs,framerate,MouthOpen,FaceAngleX,FaceAngleY,EyeOpenLeft,EyeLeftX,error
23.8430,2,1,7603569,59,0.397946,-14.4149,-12.3421,0.911187,-0.0778213,
24.1250,2,1,7604719,59,0.369462,-14.4536,-12.3265,0.911317,-0.0683211,
24.4210,2,1,7604719,59,0.394211,-14.5103,-12.4266,0.908047,-0.059519,
24.7030,2,1,7604719,59,0.339273,-14.7886,-12.8452,0.109597,-0.0283155,
24.9840,2,1,7604719,59,0.386273,-14.4784,-13.0892,0.737266,-0.0641301,
25.2650,2,1,7605869,59,0.425477,-14.6182,-12.8058,0.80897,-0.0881173,
25.5620,2,1,7605869,59,0.396094,-14.6736,-12.8637,0.836351,-0.0989566,
25.8590,2,1,7605869,59,0.423751,-14.6475,-12.5994,0.868569,-0.122828,
26.1400,2,1,7605869,59,0.337693,-14.6746,-12.5871,0.897833,-0.126354,
26.4210,2,1,7607005,59,0.392822,-14.7463,-12.6624,0.897255,-0.129708,
26.7030,2,1,7607005,59,0.402513,-14.4947,-13.0577,0.903953,-0.121151,
26.9840,2,1,7607005,59,0.32619,-13.3577,-11.9053,0.88074,-0.0893514,
27.2650,2,1,7607005,59,0.260461,-9.08946,-7.65432,0.654936,-0.0460292,
27.5460,2,1,7608153,59,0.224795,-8.91339,-5.50292,0.827301,-0.0861543,
27.8590,2,1,7608153,59,0.15645,-7.24337,-6.54017,0.232653,-0.0585598,
28.1400,2,1,7608153,59,0.0302239,-4.19535,-6.26986,0.641244,-0.0600229,
28.4060,2,1,7608153,59,0.0278694,-2.99104,-6.33554,0.831297,-0.052611,
28.6870,2,1,7609286,59,0.0358519,-1.14857,-6.74181,0.878877,-0.0478035,
28.9840,2,1,7609286,59,0.0348659,-0.808663,-5.88568,0.892082,-0.0418096,
29.2650,2,1,7609286,59,0.0499757,-0.945192,-5.24905,0.892261,-0.00959117,
29.5620,2,1,7609286,59,0.100759,-1.04653,-5.82491,0.877338,-0.039557,
29.8430,2,1,7610436,59,0.171683,-1.54316,-7.24095,0.859347,-0.0553143,
30.1400,2,1,7610436,59,0.205564,-1.37015,-7.58673,0.852907,-0.0346361,
30.4210,2,1,7610436,59,0.166634,-1.76932,-7.46572,0.870234,-0.0613333,
30.7030,2,1,7610436,59,0.164777,-2.10618,-7.27103,0.85569,-0.0578032,
30.9840,2,1,7611587,59,0.0914569,-2.37348,-5.43076,0.776089,-0.0799151,
31.2810,2,1,7611587,59,0.0677294,-1.65192,-6.99242,0.872681,-0.0732407,
31.5780,2,1,7611587,59,0.0231919,-1.52393,-8.01746,0.860651,-0.170375,
31.8590,2,1,7611587,59,0.0422342,4.23473,-8.71766,0.958231,-0.402048,
32.1400,2,1,7612737,59,0.0580931,6.98782,-9.06901,0.337544,-0.291114,
32.4370,2,1,7612737,59,0.0170004,5.75194,-9.86822,0.772512,-0.114636,
32.7180,2,1,7612737,59,0.00435452,2.13351,-10.842,0.955923,-0.132762,
33.0000,2,1,7612737,59,0.00255031,-0.420838,-11.4677,0.958574,-0.0460457,
33.2810,2,1,7613888,59,0.00165676,-1.41247,-12.7034,0.968107,-0.0370904,
33.5930,2,1,7613888,59,0.00214839,-1.02114,-13.071,0.944991,-0.00581536,
33.8750,2,1,7613888,59,0.00173432,-1.36349,-13.1459,0.945819,0.0130849,
34.1560,2,1,7613888,59,0.00220254,-1.52958,-13.3402,0.943761,0.00923074,
34.4370,2,1,7615038,59,0.00169052,-1.924,-13.3357,0.446146,-0.130113,
34.7340,2,1,7615038,59,0.00377261,-2.04221,-13.6629,0.916417,-0.301336,
35.0150,2,1,7615038,59,0.00519011,-1.96292,-14.0379,0.651422,-0.276832,
35.3120,2,1,7615038,59,0.00263764,-1.72122,-13.4778,0.874741,-0.0895071,
35.5930,2,1,7616188,59,0.00207681,-1.60387,-13.2789,0.923145,-0.0347778,
35.8900,2,1,7616188,59,0.00280363,-1.67929,-13.0914,0.937881,-0.027647,
36.1710,2,1,7616188,59,0.00279269,-1.99715,-13.3611,0.935739,-0.0648636,
36.4530,2,1,7616188,59,0.00241497,-2.12174,-13.5341,0.939237,-0.0736156,
36.7340,2,1,7617339,59,0.0026921,-2.29583,-13.4099,0.943073,-0.0669541,
37.0460,2,1,7617339,59,0.00218369,-2.3379,-13.3071,0.939905,-0.08069,
37.3280,2,1,7617339,59,0.00166452,-2.36391,-13.0099,0.947148,-0.0863943,
37.6090,2,1,7617339,59,0.00151604,-2.28809,-13.0745,0.9453,-0.088372,
37.8900,2,1,7618489,59,0.00221247,-2.56723,-13.2177,0.953383,-0.104647,
38.1870,2,1,7618489,59,0.00164043,-2.33678,-13.0951,0.839382,-0.0226029,
38.4680,2,1,7618489,59,0.00106762,-2.01418,-13.3136,0.937851,0.0228962,
38.7500,2,1,7618489,59,0.00105611,-2.05328,-12.9459,0.952662,-0.00473178,
39.0460,2,1,7619639,59,0.000781862,-7.0789,-13.8998,0.952855,-0.094691,
39.3430,2,1,7619639,59,0.0165197,-10.5428,-18.0649,0.575799,-0.092441,
39.6250,2,1,7619639,59,0.0492153,-5.50279,-19.8371,0.936934,-0.151106,
39.9060,2,1,7619639,59,0.0756256,0.630913,-18.5001,0.972458,-0.117323,
40.1870,2,1,7620789,59,0.104029,2.31575,-16.8332,0.9832,-0.132762,
40.4840,2,1,7620789,59,0.0471964,2.65179,-14.897,0.982858,-0.100136,
40.7810,2,1,7620789,59,0.0312045,2.36247,-14.9244,0.976926,-0.0848735,
41.0620,2,1,7620789,59,0.0155306,1.984,-15.5862,0.971457,-0.0869314,
41.3430,2,1,7621940,59,0.0237281,0.199034,-17.4289,0.980272,-0.163172,
41.6400,2,1,7621940,59,0.0454467,-3.62892,-19.0292,0.965672,-0.159656,
41.9210,2,1,7621940,59,0.268119,-11.9961,-18.49,0.646081,-0.179328,
42.2030,2,1,7621940,59,0.257838,-14.3947,-13.7029,0.901779,-0.34222,
42.4840,2,1,7623090,59,0.158917,-15.8676,-1.992,0.889232,-0.275456,
42.7960,2,1,7623090,59,0.199828,-16.6448,8.87378,0.813997,-0.191454,
43.0780,2,1,7623090,59,0.149,-16.1941,13.904,0.689801,-0.116145,
43.3590,2,1,7623090,59,0.12482,-15.6172,13.4648,0.512299,0.00607027,
43.6400,2,1,7624240,59,0.1945,-12.4393,12.2791,0.0752688,-0.030112,
43.9370,2,1,7624240,59,0.372277,-10.2091,10.8153,0.63769,-0.0915247,
44.2180,2,1,7624240,59,0.357274,-6.45109,8.72324,0.787065,-0.0815198,
44.5000,2,1,7624240,59,0.275782,-5.41789,6.00462,0.0767862,0.109377,
44.7960,2,1,7625391,59,0.396967,-4.93118,4.3346,0,0.00592772,
45.0930,2,1,7625391,59,0.395232,-3.3706,5.76359,0.344428,-0.0471961,
45.3750,2,1,7625391,59,0.438259,-1.7424,5.7548,0.711518,-0.0894413,
45.6560,2,1,7625391,59,0.318997,-0.386929,5.29317,0.696804,-0.0835828,
45.9370,2,1,7626540,59,0.234542,-0.206559,4.85968,0.709957,-0.0258629,
46.2340,2,1,7626540,59,0.359254,-0.287817,4.88838,0.74113,0.0134411,
46.5310,2,1,7626540,59,0.438049,-0.147483,4.91975,0.748061,0.0082597,
46.8120,2,1,7626540,59,0.324442,-0.425342,4.44069,0.773581,0.0957873,
47.0930,2,1,7627690,59,0.362394,-0.67563,4.93183,0.7772,0.175328,
47.3900,2,1,7627690,59,0.403505,-0.786709,4.70614,0.867949,0.19715,
47.6710,2,1,7627690,59,0.526214,-1.19665,4.80208,0.873595,0.1885,
47.9530,2,1,7627690,59,0.511815,-2.29596,4.95847,0.0242719,0.146692,
48.2340,2,1,7628840,59,0.53299,-3.64537,4.8697,0.763955,0.124279,
48.5460,2,1,7628840,59,0.561742,-4.30014,4.24773,0.850171,0.0739052,
48.8280,2,1,7628840,59,0.561737,-4.71685,6.18096,0.88646,0.0330196,
49.1090,2,1,7628840,59,0.55886,-4.51406,6.72617,0.888945,0.0336322,
49.3750,2,1,7629974,59,0.563033,-4.55361,6.14392,0.878501,0.0559807,
49.6710,2,1,7629974,59,0.49905,-4.90755,6.08114,0.474269,-0.0158122,
49.9530,2,1,7629974,59,0.407504,-5.64471,6.99801,0.658358,-0.0774197,
50.2500,2,1,7629974,59,0.487585,-5.92483,7.02674,0.725802,-0.138116,
50.5310,2,1,7631125,59,0.508467,-5.87611,7.85923,0.727386,-0.163771,
50.8280,2,1,7631125,59,0.467797,-6.23403,6.97828,0.733405,-0.166337,
51.1090,2,1,7631125,59,0.487473,-6.5071,7.18862,0.759757,-0.174668,
51.3900,2,1,7631125,59,0.488944,-5.69153,7.00637,0.74241,-0.181373,
51.6710,2,1,7632276,59,0.505402,-5.04884,7.47521,0.719755,-0.15293,
51.9840,2,1,7632276,59,0.491186,-5.06551,7.97266,0.695043,-0.0834234,
52.2650,2,1,7632276,59,0.528358,-5.4206,7.89446,0.69421,-0.0900394,
52.5460,2,1,7632276,59,0.545479,-5.67937,7.7577,0.688001,-0.0815681,
52.8280,2,1,7633425,59,0.548324,-5.54828,7.58906,0.704945,-0.0964589,
53.1250,2,1,7633425,59,0.513205,-5.82148,8.56128,0.732225,-0.09698,
53.4060,2,1,7633425,59,0.499591,-5.74171,8.81901,0.680676,-0.0403349,
53.6870,2,1,7633425,59,0.454096,-5.46732,6.15879,0,-0.0310006,
53.9840,2,1,7634575,59,0.341022,-5.5149,3.69727,0,0.009409,
54.2810,2,1,7634575,59,0.0954842,-8.85869,-2.12434,0,0.0941683,
54.5620,2,1,7634575,59,0.217701,-13.0094,0,1,0,
54.8430,2,1,7634575,59,0.302598,-13.6023,-2.44084,0,0.0833219,
55.1250,2,1,7635727,59,0.0559033,-7.43282,-8.76164,0,0.0482635,
55.4210,2,1,7635727,59,0.0127526,-1.56174,-13.9856,0,0.00825556,
55.7180,2,1,7635727,59,0.0145608,-0.935615,-13.2257,0.652376,-0.00968952,
56.0000,2,1,7635727,59,0.00975786,0.260995,-13.658,0.897265,0.028013,
56.2810,2,1,7636876,59,0.0121914,1.81318,-14.7176,0.844995,0.0262057,
56.5780,2,1,7636876,59,0.0132022,0.835942,-14.0323,0.967782,0.0168759,
56.8590,2,1,7636876,59,0.00766009,0.115818,-13.1313,0.993959,0.023753,
57.1250,2,1,7636876,59,0.0096959,-0.607112,-13.2062,0.935699,0.0269004,
57.4060,2,1,7638010,59,0.042385,1.07667,-11.9297,0.44835,0.0506846,
57.7180,2,1,7638010,59,0.162854,4.57635,-5.26068,0.874171,0.0773051,
58.0000,2,1,7638010,59,0.116658,6.30948,-3.01001,0.968827,0.138928,
58.2810,2,1,7638010,59,0.16065,10.8654,-1.05273,0.967702,0.121434,
58.5620,2,1,7639160,59,0.12388,9.31929,0.818026,0.93501,0.0730193,
58.8590,2,1,7639160,59,0.35778,8.11145,-0.809483,0.49407,0.0493533,
59.1400,2,1,7639160,59,0.46927,3.81302,-1.17823,0.792779,0.0362589,
